idx,유저,챗봇
210,발핫팩 언제 입고되나유?,ooo 곰돌이 발난로 2016년 형제품은 모두판매되어 품절입니다. 다음 시즌에 더욱 개선된 제품으로 찾아뵙겠습니다.
211,문의 발 핫팩 입고가 언제인가요?,ooo 곰돌이 발난로 2016년 형제품은 모두판매되어 품절입니다. 다음 시즌에 더욱 개선된 제품으로 찾아뵙겠습니다.
212,이거 너무 한 거 아닙니까?,우선 핫팩 제조 과정에 대해 말씀드리자면 활성탄 기타 자재들을 철분 및 배합하여 부직포 내에 넣어 제품이 제작되어지는데 이 과정에서 산화현상으로 발열이 시작되어집니다.
213,이 거 왜 이래요?,우선 핫팩 제조 과정에 대해 말씀드리자면 활성탄 기타 자재들을 철분 및 배합하여 부직포 내에 넣어 제품이 제작되어지는데 이 과정에서 산화현상으로 발열이 시작되어집니다.
214,배송 방금 결제 완료하였는데요출고 언제 되겠죠,주문하신 제품은 금일 정상 출고되었어요.
215,유통기한이요핫 팩 빨간색이나 초록색 유통기한이 얼마나 됩니까?,ooo 핫팩의 유통기한은 제조일로부터 3년입니다. 현재 출고되는 제품은 모두2015년 9월 이후 제조품입니다.
216,입금했는데 언제 발송될 가요?,주문하신 제품은 금일 정상 출고되었어요.
217,혹시 오늘 배송될까요?,주문하신 제품은 금일 정상 출고 예정이에요.요즘 크리스마스 시즌으로 인하여 택배 사물동량이 아주 많아 택배사 및 담당 배달 기사님의 스케줄 등으로 인해 지연이 있을수 있어요.
218,"올해도 어김없이 믿고 구매했는데 개봉을 아침에 하면 예전처럼 막미친 듯 뜨겁지도 않고, 점심시간쯤 되면 미지근해지며 퇴근 때는 아예 식 어서 사용할수도 없게 되더군요이거 왜 그런 건가요?",유통기한 내 의 제품에 문제가 발생 시 제조사인 저희 측으로 문의주시면 사실 파악 후 바로 처리해드리고 있어요.
219,,
220,70도 이하라고 하면 따뜻할 줄 알지 누가 이런 미지근한 열이 나는 줄 아나유?,저온화상의 우려로 인하여 KC 안전인증 기준상발열체의 온도가 70도가 넘어가면 불법 제품입니다.
221,,
222,,
223,,
224,갯수가 모자라요일반형 2개 신청해는 데 그럼 총갯수가 60개 되야 되지 않져?,금일재 출고하였습니다.
225,상품 혹한기 고급형은 손난로인 가요?,파스형과 발난로 형 제품만 붙이는 타입의 제품이며 나머지 제품은 모두손난로형 핫팩입니다.
226,파스형이 옷에 붙이면서 손을 떼면 떨어지는 게 말이 됩니까?,ooo 파스형 제품의 경우 부직포와 스티커를 일본에서 직접수입하여 제작하고 있어요.
227,한 개당 8시간 인가요?,표기된 시간은 개별 제품의 지속시간입니다. 산화반응을 이용한 제품이기에 사용환경 및 사용법에 따라 지속시간의 편차가 있을수 있어요.
228,발송 질문요. 토요일 도 택배 발송하실까?,발송처리를 겨울 시즌에는 토요일 도 해드리고 있어요.
229,일반 형 색상문의 작년에도 일반형 흰색으로 구매했었는데 올해도 주문 가능한가요?,흰색 부직포 상품은 더 이상 생산하고 있지 않아요. 너그렁이 이해 부탁드립니다.
230,,
231,,
232,발핫팩 제가 밖에서 구두신고 일하는데 발핫 팩 붙여도 효과가 있나요?,발난로형 핫팩의 두께감으로 인해서 너무 많은 활동을 하시는 분께는 추천 드리지 않아요.
233,파스형 파스형 붙이는 거 맨살에도 붙여도 괜찮나유?,파스형 핫팩은 절대 속옷 위에 붙여서 사용하셔야 합니다. 맨살에 바로 붙이시면 저온 화상의 위험이 굉장히 높습니다.
234,배송 택배는 어느 택배로 배송되나요?,oooo 택배와 계약되어 배송됩니다.
235,ooo 파스형 제조일자가 언제인가요?,현재 출고되고 있는 제품은 2016년 형제품이며 2015년 9월 이후 신규 생산분으로 출고되고 있어요.
236,"숙제하는 데 필요해서, 최대한 빠른 배송 부탁드립니다 이번 주에 받을수 있을까요?",주문하신 제품은 금일 정상 출고 예정이에요.
237,배송이 너무 느려요 제가 10월 31일 날 먼저 90개 구매하고 아는 동생에게 공유해서 같은 사이트에서 120개 11월 1일에 주문했는데 받는 주소지도 동일한데 어째서 제껀 아직 배송 중이고 동생 껀 오늘도착한 건가요?,주문하신 제품은 정상적으로 출고가 완료되었어요. 송장조회상 택배센터 내에서 2일간 머무르고 있는 것으로 조회됩니다.
238,보호대 개수가 궁금해서요양쪽 다 쓸려면 두개씩 주문해야 하나유?,ooo히팅 서포터는 1개입이며 양쪽으로 사용하시려면 2개 구입하셔야 합니다.
239,손목 보호 대구매 선택 창이 없네요구매하려 하는데 왜 선택 창이 없습니까?,ooo히팅 서포터를 우선 옵션에서 선택하신 후 손목 보호대를 선택하시면 됩니다.
240,핫팩 넣는 넥워머 언제 입고되지,언제나 ooo에 가져주시는 관심에 감사드립니다. 현재 정상적으로 구입하실수 있도록수정되었어요.
241,상품 개봉했더니 제품에 물이 많이 묻어 있네요 냄새도 좀 나고 왜 이런 거죠?,우선 핫팩 제조 과정에 대해 말씀드리자면 활성탄 기타 자재들을 철분 및 배합하여 부직포 내에 넣어 제품이 제작되어지는데 이 과정에서 산화현상으로 발열이 시작되어집니다.
242,군대사서함은 우체국만 받는다는데 여긷 그런가요?,저희는 oooo를 이용하고 있으며 전국 군부대로의 배송이 가능해요.
243,언제 배송됨?,고객님의 주문건은 12일 oooo 택배를 통해 정상 출고되었어요.
244,파우치는 구매가 안 되니,ooo핫 파우치는 ooo 핫 팩을 구입하시면서 추가로 구입하실수 있는 상품입니다.
245,,
246,군대로 군대로 바로 보낼려고 하는데 배송되쥬?,저희는 oooo를 이용하고 있으며 전국 군부대로의 배송이 가능해요.
247,핫팩 넣는 목하는 건 이제 없지,현재 기존 넥워머 상품은 전체 품절 상태이며 기존 넥워머의 단점을 보완한 신제품 넥워머2가 10월 중순 정도에 출시 예정이에요.
248,혹시요 1년 내내 구매 가능한 건가요?,ooo 핫팩은 1년 내내 구매가 가능하십니다. 오늘도 좋은 하루 되세요.
249,,
250,,
251,일반 형제조일자가 어떻게 되나요?,현재 출고되고 있는 일반형의 제조일자는 2015년 1월 이후 생산입니다.
252,사용기한질문이요 사용기한은 언제까지 인가요?,저희 ooo 핫팩의 유통기한은 제조일로부터 3년입니다. 제품 뒷면에 제조일자 표기되어 있어요.
253,핫팩에 물포장지 뜯었는데 물이 묻어 있었는데 불량품인가요?,우선 핫팩 제조 과정에 대해 말씀드리자면 활성탄 기타 자재들을 철분 및 배합하여 부직포 내에 넣어 제품이 제작되어지는데 이 과정에서 산화현상으로 발열이 시작되어집니다.
254,5. 곰돌이 발핫팩 추가 물량 언제 입고되나유?,우선 핫팩 제조 과정에 대해 말씀드리자면 활성탄 기타 자재들을 철분 및 배합하여 부직포 내에 넣어 제품이 제작되어지는데 이 과정에서 산화현상으로 발열이 시작되어집니다.
255,ooo 일반형 언제 입고되나여?,현재 일반형 핫팩은 정상적으로 구매하실수 있으며 품절된 파우치의 재고 입일자는 정해지지 않았습니다.
256,재입고 계획 있나요?,현재 곰도리발 핫팩은 품절 인 상태이며 추가 제작 일정이 아직 정해지지 않았습니다.
257,발핫팩 발바닥 핫팩은 재입고가 안 되나요?,발핫팩의 추가 생산 일정이 아직 확정되지 않았습니다. 발 핫팩을 제외한 제품은 지금 주문하시면 금일 출고되어 금요일 배달 예정이에요.
258,파우치 질문 스페셜과 일반의 차이가 뭔지요?,파우치 스페셜은 올해 새롭게 단추를 신형으로 달아 새롭게 제작되었으며 품질적 차이는 없얻요.
259,반품 신청했는데요 반품 신청은 돼 있는데 송장번호만 있구 택배기사님은 안 오시네요 이 제 주말이니까 다음 주에 오시는 건가요?,반품 신청을 하시고 송장번호가 나와 있다면 기사님께서 방문하실 겁니다.요즘 배달 물량이 많아 택배기사님의수거가 지연될수도 있어요.
260,,
261,발팩 재입고 예정 없음?,현재 곰도리 발난로 핫팩은 품절입니다. 현재 주문량이 폭주하여 일반형 생산 일정이 꽉 잡혀 있어 발난로의 추가 제작은 12월이 지나봐야 알 것 같습니다.
262,넥워머요넥 워머를 사면 미니 핫팩도 따로 주문해야 되,ooo넥 워머와 핫팩은 별도 구매 상품입니다. ooo 넥 워머내에 더블 미니 핫팩1봉가 번들로 포함되어 있어요.
263,,
264,오늘 주문하면 내일까지 받아볼수 있나요?,금일 주문량이 많아 오후 2시 입금 확인분까지 발송되었어요.
265,발에 붙이는 핫팩 2개 구입했는데요 그중 한 개만 일반형 30매로 교환 가능할까요?,교환 시 왕복 택배비 5 000원은 고객 부담이며 제품 입고 후 정상 제품 확인 후 교환 가능해요.
266,문의 곰도리 발 핫팩이 품절이네요 언제 입고됨?,현재 주문량이 많아 ooo 일반형의 생산에 집중하고 있어요. 12월은 지나야 정확한 생산스케줄이 확정될 것 같습니다.
267,아니 파스형 20개짜리 10개를 신청했는데 처음에는 전부 휴대용만 오더니 교환신청하니까 무슨 파스형이랑 휴대용 섞어서 주네요?,주문 발주 과정에서 일반형 주문하신 것으로 착각하여 발주가 된 것을 확인하였습니다.
268,헐입니다 이거 손해배상 청구해야 하는 것 아닙니까?,많은 주문량으로 인해 포장 과정에서 실수가 있었던 것 같습니다. 누락된 제품 금일 재 출고하여 맞교환 형식으로수거하겠습니다.
269,두개가 한 봉지에 포장되어 있나요?,상세 설명 참조부탁드리며 따로따로 하나씩 개봉해서 사용하시는 제품입니다.
270,"발팩파스형 2BOX 씩 더블 미니 일반 1BOX 씩, 언제쯤 받아볼수 있습니까?",주문하신 제품은 금일 정상 출고되었어요.
271,상품은 도대체 언제 올까?,너그러이 이해 부탁드립니다.
272,,
273,,
274,얼면 못 쓰져?,핫팩의 산화를 돕기 위해 핫팩 내부에수분이 있어요. 핫팩이 얼었다면수분이 얼어서 정상 발열이 되지 않아요.
275,파우치 문 의 혹한기 형도 파우치에 들어갑니까?,ooo핫 파우치는 ooo 일반형에 맞추어 제작되었으며 핫파우치의 소재가 신축성이 있으나 혹한기형의 경우 굉장히 타이트하게 들어갑니다.
276,배송문의 오전에 주문했는데 언제쯤 받을수 있을까요?,주문하신 제품은 금일 정상 출고 예정이에요.
277,주문했어요 오늘 주문하면 언제 받을수 있을까요?,주문하신 제품은 금일 정상 출고되었어요.
278,손목 보호대 포장수량 손목 밴드는 포장수량이 한 개씩 들어있나요?,ooo히팅 서포터는 한 개씩 들어 있어요. 양쪽으로 하시려면 두개를 구입하셔야 합니다.
279,배송 대기인가요?,현재 고객님의 주문건은 oooo센터 잔류건으로 확인되어 집니다. 저희 쪽 집화영업소에 확인하였습니다.
280,파우치 파우치만 별도 구매하고 싶은데 어떻게 안 될까요?,현재 ooo핫 파우치는 핫팩을 구입하시면서 추가로 구입하실수 있어요.
281,,
282,배송문의요오늘 오전에 주문했는데 언제 발송되니,주문하신 제품은 금일 발송 처리되었어요.
283,"친구 생일선물로 핫팩 줄려고 하는데 그래서 늦어도 5일 오전까지는 상품이 배송되었으면 하는데 지금 입금은 전부 다한 상태 구요, 오늘 오후에 바로 출고 가능할까요?",주문하신 제품은 금일 정상 출고 예정이에요.
284,금일 핫팩을 구입하였는데요택배사가 CJoooo 택배사가 맞는지요?,저희는 oooo를 사용하고 있으며 주문하신 제품은 금일 정상 출고 예정이에요.
285,지금 주문했는데요 내 일 받을수 있을까요?,주문하신 제품은 금일 정상 출고 예정이에요.
286,손목 찜질 보호대에 일반형 핫팩을 넣을수는 없나요?,히팅 서포터 손목용은 ooo 더블 미니상품 크기에 맞추어 제작되었어요.
287,,
288,온도 일반형이랑 혹한기형 최고 온 도랑 평균 온도 어떻게 되나요?,ooo 일반형의 지속시간은 15시간이며 최고 온도 70도 이하 평균 온도 58도 정도입니다.
289,,
290,방금 방금 삿는데 오늘 출고되나유?,주문하신 제품은 오늘 정상 출고되어 내일 중 배달 예정이에요.
291,,
292,포장을 사용기한이 제품은 뜯지 않으면 얼마 동안 보관했다 사용 가능한가요?,저희 제품의 유통기한은 제조일로부터 3년입니다. 저희 ooo 제품의 경우 고가의 나일로 소재의 봉투로 제작이 되어 밀봉 상태만 잘 유지하신다면 그 이상도 사용하실수 있어요.
293,오늘 입금했는데 언제쯤 배송되는지 알려주세요 좀 급해서 그런데 빨리 좀 부탁드려요네? 제발요?,주문하신 건은 오늘 중 정상 출고되어 내일 중 배달 예정이에요. 오늘도 좋은 하루 되세요.
294,일부러 일찍 했는데 오늘 보내주실수 있나요?,주문하신 제품은 오늘 중 정상 출고되어 내일 중 배달 예정이에요.
295,,
296,부탁합니다 내일까진 배달되는 거죠?,주문하신 제품은 오늘 중 정상 발송 처리되었어요.
297,일반 형 주문하려 하는데 제조년 월일이 어떻게 되죠?,저희 ooo 핫팩 전 제품은 2013년 7월 이후에 제조되어진 최신 상품들만 판매하고 있어요.
298,빠른 배송 부탁드려요.수능 전 전날 오전에 나누어 주려고 하는데 월요일까지 도착할수 있을까요?,주문하신 건은 오늘 중 정상 출고되어 내일 중 배달 예정이에요. 오늘도 좋은 하루 되세요.
299,,
300,군부대 배송군 부대 직배송되나요?,oooo를 저희는 사용하고 있으며 대부분의 군부대로 배송이 가능해요.
301,"제품을 쓴 게 아니라, 혹시 이것이 일반형으로 교환될수 있을까요?",교환은 가능하며 왕복 택배비 5 000원 동봉하시어 보내주시면 됩니다.
302,발핫팩은 언제 재생산되나요?,현재 발핫팩의 생산 일정은 확정되지 않았습니다. 입고까지는 시일이 좀 걸릴 것 같습니다.
303,발핫팩 입고문의 발핫팩 재입고 언제쯤 가능할 련지요?,현재 일반형과 혹한기형의 생산이 많이 밀려 있어 발핫팩 생산을 재개하지 못하고 있어요.
304,얼어서 도착햇어요 얼어서 도착햇는데 녹여서 사용하면 되지요,요즘 날씨가 춥다보니 배송 중에 그렇게 된 것 같습니다. 제품이 녹은 후 사용하시면 정상정으로 아무런 문제 없이 사용하실수 있어요.
305,,
306,오늘 바로 배송 가능한가요?,현재 갑작스런 한파로 인해 주문이 폭주하여 순차적으로 발송하고 있어요.
307,배송문의 방금 결제했는데요혹시 내 일 받아볼수 있을까요?,현재 갑작스런 한파로 인해 주문이 폭주하여 순차적으로 발송하고 있어요.
308,발핫팩은 안나와요?,ooo 핫팩에 대한 관심에 감사드립니다. 현재 발핫팩은 생산 일정이 정확하게 확정되지 않았습니다.
309,완전 방수인 가요?,일반형보다 더 고급스러운 방수원단을 사용한 것은 맞지만 완전 방수는 아니며 아무래도 일반형보다는 고급형이 방수는 더 잘 됩니다.
310,문의택배사가 oo. 인가요?,네 저희는 oooo 이용하고 있어요.
311,좌훈용 쑥봉매일 사용해도 되지요,좌훈은 일주일에 2 - 3회 정도 해주시는 게 좋습니다. 쑥 좌훈이 쑥의 연기와 열기를 쐬는 것입니다.
312,언제 배송되니,강화도 토박이입니다. 주문하신 상품 오늘 발송하구요.
313,전기료가 얼마큼 나올까요?,전기료는 누진재로 인해 정확한 답변이 어렵습니다. 자세한 사항은 제품 A/S센터로 문의 부탁드립니다.
314,ooo에 나오는 쑥 시트 말고 다른 말린 쑥 사용할수 잇는 제품인가요?,ooo 쑥과 비슷한 쑥통에 사용 가능한 제품이면 사용 가능해요.
315,약쑥상자 뚜껑 안쪽에 있는 날짜가 제조일자 맞는 거죠?,사용하시는데 문제 없얻요. 해당 제품은 유효기간이 특별히 존재하지 않으며 생산일자만 기재되어 있는 것입니다.
316,10월 6일 토요일이나 늦어도 8일 월요일에는 받을수 있겠죠?,해당 제품은 공장에서 입고 즉시 밀봉 후 바로 발송 처리해드리고 있어요. 빠른 발송 처리하겠습니다.
317,제품을 오늘 취소요청으로 가져갔는데 환불 처리되는 건가요?,변심 반품의 경우 배송비 5 000원이 발생합니다. 반품 신청하시면서 차감으로 신청하시면 됩니다.
318,제품 구매 시 약쑥도 같이 주는 건가요?,약쑥은 기본으로 들어있어요. 약쑥은 취향에 따라 2번 사용하셔도 됩니다.
319,주로 좌훈기는 습식/건식으로 분류하는 데 이좌훈기는 습식/건식 중 어디로 분류해야 하나유?,물을 고객님이 제품은 이용하는 제품입니다.
320,제품 구성품 문의 제품 구성품이 뭔가요?,구매를 해당 제품에 추가 구매 제품은 본품 이외에 추가로 원하시는 분들을 위해 서 있어요.
321,사은품줌?,좌훈치마는 기본으로 1개 구성되어 있어요.
322,그냥 쓰기에는 찝찝하고 교환하기는 번거롭네요 물로 씻어내고 햇볕에 말려서 써도 되는 건가요?,말씀하신 방법으로 사용하셔도 됩니다.
323,13일에 주문했는데 언제 배송되겠죠,금일 출고됩니다.
324,"06사각 옥 찜질팩 주문하여 도착하여는데, 크기가 크서 전자렌지잘 안 돌아가고 해서 04사각 옥 찜질팩으로 교환 가능한지요?",찜질팩 크기는 거의 차이가 없으며 재질 차이입니다. 전자렌지에 돌리실 때는 내부 벽면에 닿지 않도록 반접으셔서 돌려셔야 합니다.
325,운송장 조회도 안 되고 누락된 건가요?,저희 정보를 확인 결과 발송해 드린 것으로 확인되며 7개월 이상 지난 송장은 개인정보 등으로 택배사에서 송장조회를 제공하지 않아요.
326,전자렌지 돌릴 때 봉지같이 넣고 데워도 됨?,해당 제품만 넣어서 데워주세요. 가운데 액이 묻어나 오믄 것은 터지게 맞아요.
327,언제 발송 예정인 가요?,현재 제조사의 생산 지연으로 금주수요일 발송 가능할 것으로 예상됩니다. 입고 즉시 출고 처리될수 있도록 하겠습니다.
328,10월 20일에 주문했는데 아직도 배송 준비 중이네요 도대체 언제쯤 받아볼수 있는 건가요?,금일 출고 예정이에요. 빠른 발송처리될수 있도록 하겠습니다.
329,6개 구매하였으나 3개는 반품하려고 하는데 배송비를 또 제가 내야 하나요?,변심 반품의 경우 반송배송비는 부담입니다.
330,아직도 발송전이네요?,금일 발송 처리되었어요.
331,,
332,,
333,배송된 상태로 반 접어서 앞뒤로 돌리란 거죠?,전자렌지 내부에 닿지 않게 조금 더 돌리셔도 됩니다. 전자렌지 내부에 닿으면 녹는 경우가 발생합니다.
334,게시판 배송문의 많은데 얼마나 걸리나유?,익일 일부 입고되어 출고 예정이에요. 정확한 배송 일정은 구매 순서대로 발송되는 관계로 정확한 답변이 어려운 점 양해 부탁드려요.
335,언제 배송되,현재 제조사에 주문 폭주로 인해 생산이 늦어지고 있어요. 상세 설명에 안내되어 있듯이 19일까지 발송 완료 예정이에요.
336,주문한 찜질팩 안 보내주시져?,현재 제조사에 주문 폭주로 인해 생산이 늦어지고 있어요. 상세 설명에 안내되어 있듯이 19일까지 발송 완료 예정이에요.
337,방향제 같은 원래 그런가요?,새 제품으로 그런 현상이며 시간이 지나면 사라집니다.
338,엠디 제품은 20일 안에 터지면 새 상품으로 교체 맞죠?,20일 이란 기간은 없얻요. 제품 받으신 후 바로 확인해주셔야 합니다.
339,5번 주문할 건데 선물용이라 찜질 팩 케이스도 주시져?,기본적으로 제품 박스에 담겨 있어요.
340,이번 주 안으로 배송됩니까?,현재 제조사에서 일부 제품의 품질 향상 작업으로 생산이 지연되고 있어요.
341,목찜질과 눈찜질은 얼마나 가겠죠,허브 찜질팩은 대략 20 - 30분 정도 따뜻하고 이후 약 두시간 정도 미지근합니다.
342,솔리드 제품과 허브미 차이가 있을까?,세라믹 약돌을허브미 상품의 경우 6개 히터장착+ 등받이 + 사용하며 솔리드 상품의 경우는 6개 히터장착+ 등받이 +토르 말린 석에 허브 미 상품보다 목재가 두껍고 최고가 사양입니다.
343,배송 출발 언제인가요?,oooo 택배로 오늘 출고되셨구요. 이동조회는 늦은 저녁부터 가능하실거에요.
344,황토 찜질팩 PVC 온장고 사용도 가능한가요?,전자레인지나 끓는 물로 사용 가능하시구요. 온장고는 안 되세요.
345,현재 일시 품절된 상품들은 입고 예정이 없습니까?,면 제품 PVC 제품 모두전자렌지에서 데우거나 끓는 물에서 데워서 사용 가능하세요.
346,허리 찜질팩을 데울 때 허리 찜질팩을 탈부착하는 곳도 데워지는데 그게 상관이 없져?,네 관계 없으세요.
347,황토허리 찜질 팩 그냥 일반 찜질팩처럼 전자레인지에 데우면 됩니까?,허리 찜질팩은 벨크로로 허리에 차고 사용할수 있는 제품이세요.
348,상품 중 1번 사각 찜질팩이 구매에서 6900원짜리인가요?,네 맞아요.
349,냄새가 너무 많이나요 참기 힘들 정도인데 어쩌나여?,받으신 제품은 생산된 지 1개월 이내 제품이 시구요. 새 제품 특유의 냄새는 조금 있을수 있으세요.
350,유해성분 검출팩이 아니라는 걸 어디서 확인할수 있을까?,ooooo 제품은 한국건설생활환경시험연구원 통해서 산자부 고시어린이 제품 공통안전기준에 따른 별도 시험을 받은 제품으로 해당 연구원 통해서 확인이 가능할 것으로 생각됩니다.
351,코 찜질은 어떤 상품이 갠찮나요 사이즈?,다용도 제품으로는 1번 제품이 적당하시지만 코 찜질하시기에는 제품 사이즈가 좀크 실거 같아요.
352,,
353,황토허리폭이 9CM 밖에 안 되나요?,상하제일 높은 부분이 19CM 구요. 웹페이지 제작시에 오타가 있었던 것 같습니다.
354,환불 반품 신청도 하고 물건도 회수해갔는데 환불은 언제 되나요?,처리되었어요.
355,배송 언제 됨?,네 오늘 oooo 택배로 발송되셨어요.
356,언제 받아볼수 있나요?,oooo 택배로 오늘 출하 예정이 시구요. 도착까지 보통 1 - 2일이신데 주말이 껴 있으셔서 넉넉히 월요일 정도까지 보시면 될 것 같으세요.
357,실제 크기가 40 27. 5 네요. 어떻게 된 건가요?,재는 방법 따라서 크기가 조금씩 차이가 있을수 있으신데 38CM 로프레스 재단하기 때문에 기준 사이즈는 38CM 로 보시면 될 것 같으세요.
358,화학 냄새가 왜 이리 많이나쥬?,새 제품의 기본적인 냄새는 있으나 환기되는 곳에 몇 일 두면 빠지실거에요.
359,사용 기간은 얼마나?,제품에 오염이 생긴 경우에는 해당 부위만 세제로 닦아주시면 되시구요. 뜨거운 물에 넣어서 데워서 쓰는 제품이 셔서 물로 씻어주셔도 큰 문제 없으세요.
360,한 번 전자레인지에 돌리면 얼마 동안 가나요?,사용하시는 상황에 따라 차이는 생기 시 구요. 30분 1시간 정도 보시면 될 거에요.
361,,
362,1 USB 담요세탁을 어떻게 해야 하는지?,온 열담요의 경우 가운데 봉제선이 모입니다.
363,설마 설마했는데 어이가 없네요 품절인 걸 고객이 기다리고 기다리다 물어봐야 알려주는 건가요?,네.오늘 발송 예정이에요.
364,물건 잘 받으셨지,아직 반품 상품 입고되지 않았습니다. 입고 확인되면 바로 처리해드릴게요.
365,포켓토토로 구입하려는 데 포켓 열판 전용 스위치를 꼭 구입해야 하나요?,아뇨.꼭 구입하셔야 하는 것은 아닙니다.
366,포켓도 토로 주문할려고 하는데 USB 아답터 여기기서 파는 거 쓰면 되쥬?,포켓의 경우는 저희가 판매하고 있는 아답터는 미열 정도뿐이 안 됩니다. 포켓은 USB 사용하여 보조배터리나 컴퓨터를 이용하셔서 사용하셔야 합니다.
367,방석은 온열방석이죠?,네.방석은 온열이십니다.
368,,
369,담요주문했는데요담요도 열선패드가 불리되어서 빼고 세탁 하나유?,담요의 경우는 일체형으로 따로 불리가 안 되십니다.
370,포켓 시리즈 얘들 USB선이지퍼 부분에서만 뽑아낼수 있나여?,네.지퍼 부분으로 만나가게 되있어요. 고객님의 의견 감사합니다.
371,,
372,불량인 거 같습니다 이거 온열패드만 교환해야 될 거 같은데 어떻게 해야 합니까?,온열패드 다시 재발송해드릴게요.
373,세탁은 어떻게 하는 건가요?,네 열판 분리 가능한 제품만 단독 세탁 가능해요. 분리 안 되는 제품도 가능은 하나 완전히 건조 후 사용하셔야 열선에 문제가 안 생깁니다.
374,,
375,몬스터 온열 마우스 패드문의 온열 마우스 패드 몬스터요성인 남자가 사용하기 괜찮나요?,네 마우스 패는 남여 공용입니다. 손이 아주 크지 않으면 무관합니다.
376,붙이는 핫팩 구매했는데 왜 곰팡이 같은 게 피어 있죠?,상품 곰팡이가 아닌 철가루입니다.
377,"아직 사용하지는 않았는데, 교환 가능할까요?",핫팩의 유통기한은 3년이며 현재 2019년 제조상품은 미입고 상태입니다.
378,,
379,,
380,,
381,마이핫 보온대가 기존 140G 에서 160G 으로 변경된 거 맞나요?,이번 년도 중간에 표기가 변경되었습니다 140그램도 실중량이 이상입니다.
382,마이핫 보온대 제조일자 알수 있을까요?,2018년 8월 제조된 상품입니다.
383,지금 구매 시 제조일이 어떤 제품 보내주시나요?,2018년 4월 제조된 상품으로 출고 처리해드리고 있어요. 제조일이 상품 입고일마다 다소 차이가 있을수는 있어요.
384,지금도 주문 가능한가요?,상품 김 병장 마이핫 2018년 2월 제조된 상품입니다. 현재 주문 주시면 상품 당일 출고 가능해요.
385,김 병장 핫발 난로 붙이는 핫팩일 시품절이던 데 언제 입고되겠죠,제조사에서 생산되지 않아서 당분간 입고되질 않아요.
386,상품 이름 옆에 안내 구분선이 뭔가요?,판매되는 제품의 종류가 많아서. 안내선입니다.
387,저번수요일에 주문한 거 같은데 언제쯤 배송될까요?,내일수요일 발송 가능성이 높습니다.
388,언제 배송되나요?,수요일 이후에 출고될 예정이에요.
389,,
390,마이핫 보온대언 제재 입고되나용?,1월 8일 이후부터 가능할 예정이에요. 지금 주문시 1월 12일 이후 발송이 가능할 예정이에요.
391,터진 제품을 어떻게 가지고 있나요?,터진 제품도 있으시면 처리해드린다는 말씀입니다.
392,나우온 팩붙이는 핫팩 언제 출고되나요?,주문하신 상품은 27일 오늘 출고 처리될 예정이에요.
393,마이핫 보온대 60매 구매 가능할까요?,지금 주문 시 1월 12일 이후 출고 처리될 가능성이 높습니다.
394,혹한기 훈련이라 보내야 하는데 언제 주문 가능한지요?,제조공장의 원료 부족으로 인해 생산이 중단되어 1월 5일까지 중단되었어요.
395,,
396,언제쯤 배송되지,마이핫 보온대 제조사의 군납일정으로 출고가 계속 지연되고 있습니다 / 현재 이번 주 입고가 불가한 상태이며 다음 주 이후 입고 여부 확인해봐야 할 것 같습니다.
397,,
398,예약할게요 몇 개까지 살수 있죠?,김 병장수량 7개 열어드렸습니다.
399,마이핫 보온대 핫팩언제 입고될까요?,현재 7 - 10일 이상 지연될수 있어요.
400,,
401,마이핫 보온대언 제쯤 입고되나요?,현재 7일 이상 소요될수도 있어요.
402,언제 입고됩니까?,재고수량 열어드렸으며 상품은 입고 후 출고 진행되 오나 순차 발송 및 지연되는 점감 안하시고 구매 부탁드립니다.
403,김 병장 핫보온대 지금 주문하면 7 - 10인데 지금 주문하고 싶은데 어떻게 해야?,소량 재고 풀어드렸습니다 현재 해당 상품 다음 생산 때까지 출고가 지연되오니 이점 확인해주시고 구매 부탁드립니다.
404,불량 같은데 확인 안 하고 보내시쥬?,발 난로 제품은 상세 설명에 안내되어 있듯이 붙이는 핫팩이나 손난로와 같은 발열과 비교하시면 안되구요.
405,,
406,재입고문의 김 병장 핫팩언제 재입고되나여?,김 병장 핫보온대는 이번 주수요일 이후쯤에 나 가능할 것 같습니다.
407,4일에 주문했는데 아직 안 와서요 언제쯤 받을수 있을까요?,주문해주신 상품 오늘 출고 처리됩니다.
408,김 병장 50매 구매했는데 언제 배송되나요?,주문주 신제품목 금 출고가 가능해요.
409,어제 주문을 했는데 아직 배송이 준비 중인데 언제 가능한가요?,주문주 신제품목 금 출고가 가능해요.
410,일시품절이던 데 언제쯤 물건이 있을까요?,현재는 예약만 가능하신 상태 구요 발송은 다음 주에 가능해요.
411,언제 발송합니까?,마이핫 보온대는 오늘 출고 처리되며 포장 완료되었어요.
412,김 병장 핫보온대특계속 품절이라고 뜨네요 재입고 언제쯤 될까?,재입고는 목요일 이후 순차 발송으로 미리 주문 주신 분들 출고 뒤 새로운 주문을 받을 예정이에요.
413,이 거배송 받았는데요 넣고 다닐수 있는 주머니 준다고 하지 않았겠죠,재입고는 목요일 이후 순차 발송으로 미리 주문 주신 분들 출고 뒤 새로운 주문을 받을 예정이에요.
414,택배사는 어딘지요?,고객님 ooooooo으로 출고 처리됩니다.
